date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:32:41	2288/2288	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Sep%202019%2015:06:19%20GMT	https://754701.smushcdn.com/1462796/wp-content/uploads/2019/02/logo-3.png?lossy=0&strip=1&webp=1	C:/Users/annou/Documents/GitHub/Test/754701.smushcdn.com/1462796/wp-content/uploads/2019/02/logo-30af1.png	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:32:41	2341/2341	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Sep%202019%2015:06:19%20GMT	https://754701.smushcdn.com/1462796/wp-content/uploads/2019/02/logo-4.png?lossy=0&strip=1&webp=1	C:/Users/annou/Documents/GitHub/Test/754701.smushcdn.com/1462796/wp-content/uploads/2019/02/logo-40af1.png	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:32:41	1799/1799	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Sep%202019%2015:06:19%20GMT	https://754701.smushcdn.com/1462796/wp-content/uploads/2019/02/logo-5.png?lossy=0&strip=1&webp=1	C:/Users/annou/Documents/GitHub/Test/754701.smushcdn.com/1462796/wp-content/uploads/2019/02/logo-50af1.png	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:32:41	6201/6201	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Sep%202019%2013:57:01%20GMT	https://754701.smushcdn.com/1462796/wp-content/uploads/2019/02/app-store.png?lossy=0&strip=1&webp=1	C:/Users/annou/Documents/GitHub/Test/754701.smushcdn.com/1462796/wp-content/uploads/2019/02/app-store0af1.png	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:32:42	6124/6124	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Sep%202019%2013:57:01%20GMT	https://754701.smushcdn.com/1462796/wp-content/uploads/2019/02/google-play.png?lossy=0&strip=1&webp=1	C:/Users/annou/Documents/GitHub/Test/754701.smushcdn.com/1462796/wp-content/uploads/2019/02/google-play0af1.png	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:32:43	0/0	---M--	404	error ('Not%20Found:%20File%20not%20found%20on%20origin%20server')	inode/x-empty	date:Tue,%2010%20Sep%202019%2023:32:45%20GMT	https://754701.smushcdn.com/1462796/wp-content/uploads/2019/02/brand-logo-color.png?lossy=0&strip=1&webp=1	C:/Users/annou/Documents/GitHub/Test/754701.smushcdn.com/1462796/wp-content/uploads/2019/02/brand-logo-color0af1.png	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:32:43	339/339	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Sep%202019%2008:27:18%20GMT	https://754701.smushcdn.com/1462796/wp-content/themes/xpider/assets/demo-assets/settings.png?lossy=0&strip=1&webp=1	C:/Users/annou/Documents/GitHub/Test/754701.smushcdn.com/1462796/wp-content/themes/xpider/assets/demo-assets/settings0af1.png	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:32:45	30166/30166	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Sep%202019%2023:32:45%20GMT	http://themes.dhrubok.website/xpider/home-tokyo/img/patterns/circle-pattern.png	C:/Users/annou/Documents/GitHub/Test/themes.dhrubok.website/xpider/home-tokyo/img/patterns/circle-pattern.21.delayed	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:32:46	30166/30166	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Sep%202019%2023:32:47%20GMT	http://themes.dhrubok.website/xpider/home-tokyo/img/patterns/circles-light.png	C:/Users/annou/Documents/GitHub/Test/themes.dhrubok.website/xpider/home-tokyo/img/patterns/circles-light.22.delayed	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:32:48	30166/30166	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Sep%202019%2023:32:49%20GMT	http://themes.dhrubok.website/xpider/home-tokyo/img/patterns/leaf-pattern.png	C:/Users/annou/Documents/GitHub/Test/themes.dhrubok.website/xpider/home-tokyo/img/patterns/leaf-pattern.23.delayed	(from http://themes.dhrubok.website/xpider/home-tokyo/)
